date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:10	191300/191300	---MCZ	200	added ('OK')	application/font-woff	etag:%2253980ee08926b00767807d09c4d59404-ssl-df%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-regular-400.woff	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:11	369336/369336	---M--	200	added ('OK')	font/ttf	etag:%222368d70153304135f086f9805c00781b-ssl%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-regular-400.ttf	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:12	1744414/1744414	---MCZ	200	added ('OK')	image/svg+xml	etag:%2265f5a9159d7ebe9143907f373c77dc16-ssl-df%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-regular-400.svg	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:13	313900/313900	---MCZ	200	added ('OK')	application/octet-stream	etag:%2267b1f51fde92e8bfad7ace35f59e2bc1-ssl-df%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-solid-900.eot	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-solid-900.eot	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:13	313900/313900	---M-Z	200	added ('OK')	application/octet-stream	etag:%2267b1f51fde92e8bfad7ace35f59e2bc1-ssl-df%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-solid-900.eot?	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-solid-900d41d.eot	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:14	117452/117452	---M--	200	added ('OK')	font/woff2	etag:%22ff2809babf6f4690dd5ca28545352194-ssl%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-solid-900.woff2	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:15	155948/155948	---MCZ	200	added ('OK')	application/font-woff	etag:%227f4b9b8320af4fbc16512b8f01d430ca-ssl-df%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-solid-900.woff	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:16	313620/313620	---M--	200	added ('OK')	font/ttf	etag:%22f9f6097fd4ef64ea8ac274123e4a906e-ssl%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-solid-900.ttf	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
17:24:17	226/226	---M--	200	added ('OK')	image/png	etag:%225cedaf9373e9e9272c02dc72d47e6ec3-ssl%22	https://wellco-jekyll.netlify.app/assets/images/icons/check.png	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/images/icons/check.png	(from https://wellco-jekyll.netlify.app/assets/css/style.css)
17:24:18	1411359/1411359	---MCZ	200	added ('OK')	image/svg+xml	etag:%22340af572a15dd42fe0fa000a24cf7b5a-ssl-df%22	https://wellco-jekyll.netlify.app/assets/fonts/fonts/fa-solid-900.svg	C:/My%20Web%20Sites/jilu%20bhai/wellco-jekyll.netlify.app/assets/fonts/fonts/fa-solid-900.svg	(from https://wellco-jekyll.netlify.app/assets/fonts/font-awesome.min.css)
